texto,diagnostico
"corrimento com odor forte e desconforto vaginal","vaginose bacteriana"
"corrimento acinzentado com odor forte","vaginose bacteriana"
"coceira intensa com corrimento branco","candidíase"
"coceira e vermelhidão com corrimento branco","candidíase"
"dor pélvica intensa com febre","doença inflamatória pélvica"
"febre e dor abdominal durante relação","doença inflamatória pélvica"
"atraso menstrual com náusea","possível gravidez"
"náusea e atraso menstrual","possível gravidez"
"sangramento com dor abdominal forte","possível aborto espontâneo"
"forte sangramento e dor abdominal","possível aborto espontâneo"
"dor pélvica durante relação e menstruação irregular","endometriose"
"dor intensa durante relação com sangramento irregular","endometriose"
"corrimento com odor e vermelhidão","infecção vaginal"
"desconforto vaginal com corrimento e odor","infecção vaginal"
"menstruação irregular e atraso menstrual","distúrbio hormonal"
"ciclo irregular com sangramento menstrual fora do período","distúrbio hormonal"
